Unnamed: 0,supply_id,parent_id,priority,start_day,end_date,estdur,device_type,battery_type,d_estdur
0,H13779495,,0,1/3/2022,31/03/2022,32,DIESEL,JSU|POW|LEK,1.0
1,H13824912,,1,1/3/2022,31/03/2022,20,DIESEL,JSU|NAJ|ZSF|LEK,2.0
2,H13824914,,1,1/3/2022,31/03/2022,13,DRILL,POW|NAJ|LEK|ZSF,1.5
3,H13824916,,1,1/3/2022,31/03/2022,31,MUDPUMP,ZSF|JSU|POW|LEK,1.0
4,H13824920,H13824916,1,1/3/2022,31/03/2022,21,GENERATOR,ZSF|NAJ|POW|JSU,1.0
5,H13824924,H13824916,1,1/3/2022,31/03/2022,49,DRILL,LEK|POW|ZSF|JSU,1.5
6,H13824928,H13824916,1,1/3/2022,31/03/2022,30,GENERATOR,LEK,0.5
7,H13824932,H13824916,1,1/3/2022,31/03/2022,12,DRILL,ZSF|POW,0.5
8,H13824936,H13824916,1,1/3/2022,31/03/2022,12,DRILL,NAJ|LEK|JSU,1.0
9,H13824940,H13824916,1,1/3/2022,31/03/2022,10,DRILL,JSU|LEK,0.5
10,H13824944,,1,1/3/2022,31/03/2022,2,DRILL,JSU|NAJ,1.0
11,H13824950,H13824944,1,1/3/2022,31/03/2022,12,DRAWWORK,POW|LEK|NAJ|ZSF,2.0
12,H13824956,H13824944,1,1/3/2022,31/03/2022,12,DRILL,NAJ,2.0
13,H13824962,H13824944,1,1/3/2022,31/03/2022,31,DRAWWORK,JSU|LEK,0.5
14,H13824968,H13824944,1,1/3/2022,31/03/2022,11,DRILL,NAJ|LEK,1.0
15,H13824974,H13824944,1,1/3/2022,31/03/2022,23,GENERATOR,JSU|POW,1.0
16,H13824980,H13824944,1,1/3/2022,31/03/2022,33,DIESEL,JSU|NAJ|POW,0.5
17,H13824986,H13824944,1,1/3/2022,31/03/2022,21,DIESEL,JSU|NAJ|POW|LEK,1.0
18,H13824992,H13824944,1,1/3/2022,31/03/2022,10,MUDPUMP,NAJ,1.5
19,H13824998,H13824944,1,1/3/2022,31/03/2022,20,DRAWWORK,JSU,0.5
20,H13825004,H13824944,1,1/3/2022,31/03/2022,30,DRILL,POW|ZSF|NAJ,0.5
21,H13825010,H13824944,1,1/3/2022,31/03/2022,21,GENERATOR,POW|LEK,1.5
22,H13825016,H13824944,1,1/3/2022,31/03/2022,12,DRAWWORK,LEK,1.0
23,H13825022,H13824944,1,1/3/2022,31/03/2022,62,DIESEL,NAJ|POW|LEK,0.5
24,H13825028,H13824944,1,1/3/2022,31/03/2022,22,MUDPUMP,NAJ,0.5
25,H13825034,H13824944,1,1/3/2022,31/03/2022,22,GENERATOR,LEK|NAJ,1.0
26,H13825040,H13824944,1,1/3/2022,31/03/2022,3,DIESEL,JSU|LEK|ZSF,2.0
27,H13825046,H13824944,1,1/3/2022,31/03/2022,28,MUDPUMP,NAJ,1.5
28,H13825052,H13824944,1,1/3/2022,31/03/2022,13,MUDPUMP,LEK,0.5
29,H13825058,H13824944,1,1/3/2022,31/03/2022,38,GENERATOR,NAJ|LEK|JSU|ZSF,2.0
30,H13825064,H13824944,1,1/3/2022,31/03/2022,33,DIESEL,JSU,0.5
31,H13825070,H13824944,1,1/3/2022,31/03/2022,8,DIESEL,POW|JSU|LEK|NAJ,1.0
32,H13825078,,1,1/3/2022,31/03/2022,11,MUDPUMP,ZSF|NAJ|LEK,2.0
